"veiculo","tipo","hora_coleta","lat","lon"
"4dbd4c99-0000-0000-0000-000000091b7a","Car","2014-10-08 00:06:29 UTC",-23.5295017,-46.4988017
"4dbd4c99-0000-0000-0000-00000009381a","Car","2014-10-07 04:00:28 UTC",-23.4700867,-46.705715
"4dbd4c99-0000-0000-0000-0000000853de","Car","2014-10-08 23:52:22 UTC",-23.6035789,-46.50687
"4dbd4c99-0000-0000-0000-00000005ba15","Car","2014-10-07 19:44:48 UTC",-23.5902428,-46.6802251
"4dbd4c99-0000-0000-0000-00000009384f","Car","2014-10-09 02:23:56 UTC",-23.62516,-46.7267503
"4dbd4c99-0000-0000-0000-00000008e07d","Car","2014-10-08 17:44:57 UTC",-23.5857465,-46.6724805
"4dbd4c99-0000-0000-0000-0000000714d5","Car","2014-10-09 17:04:43 UTC",-23.6205323,-46.663594
"4dbd4c99-0000-0000-0000-000000093e2a","Car","2014-10-07 18:12:58 UTC",-23.6227087,-46.6741512
"4dbd4c99-0000-0000-0000-0000000901a4","Car","2014-10-09 14:42:52 UTC",-23.4856246,-46.5922709
"4dbd4c99-0000-0000-0000-000000065c6d","Car","2014-10-08 15:37:22 UTC",-23.5451201,-46.6556823
"4dbd4c99-0000-0000-0000-0000000656f5","Car","2014-10-09 17:00:57 UTC",-23.6463336,-46.7300602
"4dbd4c99-0000-0000-0000-000000093a4a","Car","2014-10-05 03:14:28 UTC",-23.5608869,-46.6880966
"4dbd4c99-0000-0000-0000-000000066505","Car","2014-10-08 22:55:02 UTC",-23.6375564,-46.7740166
"4dbd4c99-0000-0000-0000-000000094b33","Car","2014-10-10 14:35:41 UTC",-23.54073,-46.5942183
"4dbd4c99-0000-0000-0000-0000000906db","Car","2014-10-08 01:38:24 UTC",-23.629372,-46.6669616
"4dbd4c99-0000-0000-0000-00000005b76d","Car","2014-10-09 13:42:36 UTC",-23.6186128,-46.6727578
"4dbd4c99-0000-0000-0000-00000009396a","Car","2014-10-08 13:00:23 UTC",-23.5755963,-46.6696063
"4dbd4c99-0000-0000-0000-00000009418f","Car","2014-10-06 08:44:10 UTC",-23.6124653,-46.6204968
"4dbd4c99-0000-0000-0000-000000095b11","Car","2014-10-10 02:46:49 UTC",-23.5569974,-46.6528922
"4dbd4c99-0000-0000-0000-000000000599","Car","2014-10-10 00:16:53 UTC",-23.5060421,-46.7346611
"4dbd4c99-0000-0000-0000-000000071457","Car","2014-10-09 11:06:49 UTC",-23.5847404,-46.7280413
